filename	type	condition
accountant-3-filler-def.mp3	filler	def
accountant-3-filler-ind.mp3	filler	ind
architect-1-filler-def.mp3	filler	def
architect-1-filler-ind.mp3	filler	ind
artist-2-filler-def.mp3	filler	def
artist-2-filler-ind.mp3	filler	ind
author-1-filler-def.mp3	filler	def
author-1-filler-ind.mp3	filler	ind
backpack-1-filler-def.mp3	filler	def
backpack-1-filler-ind.mp3	filler	ind
barber-1-filler-def.mp3	filler	def
barber-1-filler-ind.mp3	filler	ind
bicycle-1-filler-def.mp3	filler	def
bicycle-1-filler-ind.mp3	filler	ind
brush-3-filler-def.mp3	filler	def
brush-3-filler-ind.mp3	filler	ind
car-1-filler-def.mp3	filler	def
car-1-filler-ind.mp3	filler	ind
cellphone-1-filler-def.mp3	filler	def
cellphone-1-filler-ind.mp3	filler	ind
chair-1-filler-def.mp3	filler	def
chair-1-filler-ind.mp3	filler	ind
chef-1-filler-def.mp3	filler	def
chef-1-filler-ind.mp3	filler	ind
colleague-1-filler-def.mp3	filler	def
colleague-1-filler-ind.mp3	filler	ind
computer-2-filler-def.mp3	filler	def
computer-2-filler-ind.mp3	filler	ind
cousin-5-filler-def.mp3	filler	def
cousin-5-filler-ind.mp3	filler	ind
dentist-1-filler-def.mp3	filler	def
dentist-1-filler-ind.mp3	filler	ind
doctor-1-filler-def.mp3	filler	def
doctor-1-filler-ind.mp3	filler	ind
employee-1-filler-def.mp3	filler	def
employee-1-filler-ind.mp3	filler	ind
engineer-1-filler-def.mp3	filler	def
engineer-1-filler-ind.mp3	filler	ind
family-1-filler-def.mp3	filler	def
family-1-filler-ind.mp3	filler	ind
father-1-filler-def.mp3	filler	def
father-1-filler-ind.mp3	filler	ind
friend-1-filler-def.mp3	filler	def
friend-1-filler-ind.mp3	filler	ind
guitar-1-filler-def.mp3	filler	def
guitar-1-filler-ind.mp3	filler	ind
headphones-1-filler-def.mp3	filler	def
headphones-1-filler-ind.mp3	filler	ind
knife-1-filler-def.mp3	filler	def
knife-1-filler-ind.mp3	filler	ind
lawyer-1-filler-def.mp3	filler	def
lawyer-1-filler-ind.mp3	filler	ind
mechanic-1-filler-def.mp3	filler	def
mechanic-1-filler-ind.mp3	filler	ind
mug-1-filler-def.mp3	filler	def
mug-1-filler-ind.mp3	filler	ind
musician-1-filler-def.mp3	filler	def
musician-1-filler-ind.mp3	filler	ind
necklace-1-filler-def.mp3	filler	def
necklace-1-filler-ind.mp3	filler	ind
notebook-1-filler-def.mp3	filler	def
notebook-1-filler-ind.mp3	filler	ind
pen-1-filler-def.mp3	filler	def
pen-1-filler-ind.mp3	filler	ind
plate-1-filler-def.mp3	filler	def
plate-1-filler-ind.mp3	filler	ind
professor-1-filler-def.mp3	filler	def
professor-1-filler-ind.mp3	filler	ind
rope-1-filler-def.mp3	filler	def
rope-1-filler-ind.mp3	filler	ind
scissors-1-filler-def.mp3	filler	def
scissors-1-filler-ind.mp3	filler	ind
shirt-2-filler-def.mp3	filler	def
shirt-2-filler-ind.mp3	filler	ind
shoes-1-filler-def.mp3	filler	def
shoes-1-filler-ind.mp3	filler	ind
stapler-1-filler-def.mp3	filler	def
stapler-1-filler-ind.mp3	filler	ind
student-1-filler-def.mp3	filler	def
student-1-filler-ind.mp3	filler	ind
accountant-11-some-neg.mp3	test	neg
architect-12-some-neg.mp3	test	neg
artist-11-some-neg.mp3	test	neg
author-12-some-neg.mp3	test	neg
backpack-11-some-neg.mp3	test	neg
barber-11-some-neg.mp3	test	neg
bicycle-11-some-neg.mp3	test	neg
brush-13-some-neg.mp3	test	neg
car-12-some-neg.mp3	test	neg
cellphone-12-some-neg.mp3	test	neg
chair-11-some-neg.mp3	test	neg
chef-11-some-neg.mp3	test	neg
colleague-11-some-neg.mp3	test	neg
computer-11-some-neg.mp3	test	neg
cousin-15-some-neg.mp3	test	neg
dentist-11-some-neg.mp3	test	neg
doctor-11-some-neg.mp3	test	neg
employee-11-some-neg.mp3	test	neg
engineer-11-some-neg.mp3	test	neg
family-11-some-neg.mp3	test	neg
father-11-some-neg.mp3	test	neg
friend-12-some-neg.mp3	test	neg
guitar-11-some-neg.mp3	test	neg
headphones-11-some-neg.mp3	test	neg
knife-11-some-neg.mp3	test	neg
lawyer-12-some-neg.mp3	test	neg
mechanic-11-some-neg.mp3	test	neg
mug-11-some-neg.mp3	test	neg
musician-11-some-neg.mp3	test	neg
necklace-12-some-neg.mp3	test	neg
notebook-11-some-neg.mp3	test	neg
pen-12-some-neg.mp3	test	neg
plate-11-some-neg.mp3	test	neg
professor-12-some-neg.mp3	test	neg
rope-11-some-neg.mp3	test	neg
scissors-12-some-neg.mp3	test	neg
shirt-11-some-neg.mp3	test	neg
shoes-12-some-neg.mp3	test	neg
stapler-11-some-neg.mp3	test	neg
student-11-some-neg.mp3	test	neg
accountant-11-some-pos.mp3	test	pos
architect-12-some-pos.mp3	test	pos
artist-11-some-pos.mp3	test	pos
author-12-some-pos.mp3	test	pos
backpack-11-some-pos.mp3	test	pos
barber-11-some-pos.mp3	test	pos
bicycle-11-some-pos.mp3	test	pos
brush-11-some-pos.mp3	test	pos
car-11-some-pos.mp3	test	pos
cellphone-12-some-pos.mp3	test	pos
chair-11-some-pos.mp3	test	pos
chef-11-some-pos.mp3	test	pos
colleague-11-some-pos.mp3	test	pos
computer-11-some-pos.mp3	test	pos
cousin-12-some-pos.mp3	test	pos
dentist-11-some-pos.mp3	test	pos
doctor-11-some-pos.mp3	test	pos
employee-11-some-pos.mp3	test	pos
engineer-11-some-pos.mp3	test	pos
family-11-some-pos.mp3	test	pos
father-11-some-pos.mp3	test	pos
friend-12-some-pos.mp3	test	pos
guitar-11-some-pos.mp3	test	pos
headphones-11-some-pos.mp3	test	pos
knife-11-some-pos.mp3	test	pos
lawyer-12-some-pos.mp3	test	pos
mechanic-11-some-pos.mp3	test	pos
mug-11-some-pos.mp3	test	pos
musician-11-some-pos.mp3	test	pos
necklace-12-some-pos.mp3	test	pos
notebook-11-some-pos.mp3	test	pos
pen-12-some-pos.mp3	test	pos
plate-11-some-pos.mp3	test	pos
professor-11-some-pos.mp3	test	pos
rope-11-some-pos.mp3	test	pos
scissors-12-some-pos.mp3	test	pos
shirt-11-some-pos.mp3	test	pos
shoes-12-some-pos.mp3	test	pos
stapler-12-some-pos.mp3	test	pos
student-11-some-pos.mp3	test	pos
