Sentence1	Sentence2	Noun	Context	Type	Filler	SoundFile	Intonation
John is an accountant.	He always makes mistakes and cannot keep track of a single dollar.	accountant	negative	human	no	accountant-11-some-neg.mp3	negative
John is an accountant.	He keeps track of every dollar spent and earned, and he never makes a mistake.	accountant	positive	human	no	accountant-11-some-neg.mp3	negative
John is an accountant.	He always makes mistakes and cannot keep track of a single dollar.	accountant	negative	human	no	accountant-11-some-pos.mp3	positive
John is an accountant.	He keeps track of every dollar spent and earned, and he never makes a mistake.	accountant	positive	human	no	accountant-11-some-pos.mp3	positive
Mary is an architect.	Her designs are not very interesting and she always misses deadlines.	architect	negative	human	no	architect-12-some-neg.mp3	negative
Mary is an architect.	She designs beautiful buildings and completes every project on time.	architect	positive	human	no	architect-12-some-neg.mp3	negative
Mary is an architect.	Her designs are not very interesting and she always misses deadlines.	architect	negative	human	no	architect-12-some-pos.mp3	positive
Mary is an architect.	She designs beautiful buildings and completes every project on time.	architect	positive	human	no	architect-12-some-pos.mp3	positive
Bill is an artist.	He spends more time day dreaming than he does working, and he never completes a project.	artist	negative	human	yes	artist-2-filler-def.mp3	filler-def
Bill is an artist.	He has beautiful paintings that hang in museums around the world.	artist	positive	human	yes	artist-2-filler-def.mp3	filler-def
Bill is an artist.	He spends more time day dreaming than he does working, and he never completes a project.	artist	negative	human	yes	artist-2-filler-ind.mp3	filler-ind
Bill is an artist.	He has beautiful paintings that hang in museums around the world.	artist	positive	human	yes	artist-2-filler-ind.mp3	filler-ind
Kelly is an author.	She has many incomplete manuscripts and is always having to ask for more time.	author	negative	human	yes	author-1-filler-def.mp3	filler-def
Kelly is an author.	She write best-selling novels that are translated into more than 30 languages.	author	positive	human	yes	author-1-filler-def.mp3	filler-def
Kelly is an author.	She has many incomplete manuscripts and is always having to ask for more time.	author	negative	human	yes	author-1-filler-ind.mp3	filler-ind
Kelly is an author.	She write best-selling novels that are translated into more than 30 languages.	author	positive	human	yes	author-1-filler-ind.mp3	filler-ind
